Date,Open,High,Low,Close,Adj Close,Volume
2020-06-23,116.059998,118.980003,115.199997,116.900002,102.380478,41982797
2020-06-24,116.160004,117.900002,111.839996,111.860001,97.966454,44141039
2020-06-25,111.000000,113.760002,109.699997,112.620003,98.632080,68711572
2020-06-26,114.239998,115.400002,110.980003,110.980003,97.195770,34718153
2020-06-29,111.000000,115.360001,110.099998,114.500000,100.278572,49161840
2020-06-30,115.120003,115.945999,112.559998,114.419998,100.208504,37348805
2020-07-01,115.220001,116.080002,112.375999,113.540001,99.437798,28248870
2020-07-02,115.059998,119.540001,113.900002,117.900002,103.256279,49917085
2020-07-03,117.900002,118.379997,114.239998,115.720001,101.347038,32838722
2020-07-06,117.000000,128.000000,115.940002,117.300003,102.730797,33569883
2020-07-07,116.099998,117.289001,114.660004,114.959999,100.681435,30825878
2020-07-08,114.000000,115.699997,113.900002,114.400002,100.190987,22682955
2020-07-09,115.699997,116.000000,111.660004,111.959999,98.054031,30987302
2020-07-10,111.620003,118.059998,111.000000,117.760002,103.133659,34170193
2020-07-13,121.220001,121.643997,116.699997,119.559998,104.710091,50200490
2020-07-14,118.279999,120.199997,116.459999,119.360001,104.534927,42241323
2020-07-15,119.500000,121.400002,118.019997,120.300003,105.358177,60019172
2020-07-16,119.820000,121.300003,118.080002,118.580002,103.851807,33585809
2020-07-17,117.760002,118.760002,115.220001,116.400002,101.942581,39498898
2020-07-20,115.480003,117.320000,114.739998,116.220001,101.784943,25627739
2020-07-21,117.339996,120.705002,115.519997,116.639999,102.152763,37541275
2020-07-22,116.739998,118.279999,114.980003,117.419998,102.835892,43476755
2020-07-23,118.000000,118.160004,116.419998,116.459999,101.995117,28397331
2020-07-24,115.099998,116.040001,113.599998,113.599998,99.490341,33818949
2020-07-27,113.820000,152.820007,110.879997,111.000000,97.213280,30918441
2020-07-28,111.000000,112.660004,110.379997,111.860001,97.966454,36861631
2020-07-29,112.879997,113.467003,104.000000,105.019997,91.976021,84847529
2020-07-30,105.000000,105.360001,98.720001,100.779999,88.262642,59871200
